od pair,traffic volume,path,distance
27_12,,128-89-108-85-77-92,2025.64
27_12,,128-132-93-85-77-92,2037.22
27_13,36,128-89-81-100-104,1586.16
27_13,,128-89-108-85-104,1560.32
27_13,,128-132-93-85-104,1571.9
27_14,32,128-89-108-112,1090
27_14,,128-132-93-112,1101.58
27_15,43,128-132-136,436.11
27_15,,128-89-108-91-136,1755.47
27_16,82,128-132-111,436.11
27_16,,128-89-108-91-111,1755.47
27_24,42,128-89-81-94,1150.34
27_24,,128-132-93-85-98-94,2007.72
27_25,75,128-89-81-73-65-61-45-34,2556.57
27_25,,128-132-93-85-77-69-49-38-34,3410.45
27_26,36,128-89-81-73-65-74,1803.76
27_26,,128-132-93-85-77-86-65-74,2645.14
